Country,Year,Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,BMI,Schooling,GDP,under-fivedeaths
Afghanistan,2015,Developing,65,263,62,0.01,71.27962362,19.1,10.1,584.25921,83
Afghanistan,2014,Developing,59.9,271,64,0.01,73.52358168,18.6,10,612.696514,86
Afghanistan,2013,Developing,59.9,268,66,0.01,73.21924272,18.1,9.9,631.744976,89
Afghanistan,2012,Developing,59.5,272,69,0.01,78.1842153,17.6,9.8,669.959,93
Afghanistan,2011,Developing,59.2,275,71,0.01,7.097108703,17.2,9.5,63.537231,97
Afghanistan,2010,Developing,58.8,279,74,0.01,79.67936736,16.7,9.2,553.32894,102
Afghanistan,2009,Developing,58.6,281,77,0.01,56.76221682,16.2,8.9,445.8932979,106
Afghanistan,2008,Developing,58.1,287,80,0.03,25.87392536,15.7,8.7,373.3611163,110
Afghanistan,2007,Developing,57.5,295,82,0.02,10.91015598,15.2,8.4,369.835796,113
Afghanistan,2006,Developing,57.3,295,84,0.03,17.17151751,14.7,8.1,272.56377,116
Afghanistan,2005,Developing,57.3,291,85,0.02,1.388647732,14.2,7.9,25.2941299,118
Afghanistan,2004,Developing,57,293,87,0.02,15.29606643,13.8,6.8,219.1413528,120
Afghanistan,2003,Developing,56.7,295,87,0.01,11.08905273,13.4,6.5,198.7285436,122
Afghanistan,2002,Developing,56.2,3,88,0.01,16.88735091,13,6.2,187.84595,122
Afghanistan,2001,Developing,55.3,316,88,0.01,10.5747282,12.6,5.9,117.49698,122
Afghanistan,2000,Developing,54.8,321,88,0.01,10.42496,12.2,5.5,114.56,122
Albania,2015,Developing,77.8,74,0,4.6,364.9752287,58,14.2,3954.22783,0
Albania,2014,Developing,77.5,8,0,4.51,428.7490668,57.2,14.2,4575.763787,1
Albania,2013,Developing,77.2,84,0,4.76,430.8769785,56.5,14.2,4414.72314,1
Albania,2012,Developing,76.9,86,0,5.14,412.4433563,55.8,14.2,4247.61438,1
Albania,2011,Developing,76.6,88,0,5.37,437.0621,55.1,13.3,4437.17868,1
Albania,2010,Developing,76.2,91,1,5.28,41.82275719,54.3,12.5,494.358832,1
Albania,2009,Developing,76.1,91,1,5.79,348.0559517,53.5,12.2,4114.136545,1
Albania,2008,Developing,75.3,1,1,5.61,36.62206845,52.6,12,437.539647,1
Albania,2007,Developing,75.9,9,1,5.58,32.24655228,51.7,11.6,363.13685,1
Albania,2006,Developing,74.2,99,1,5.31,3.3021542,5.8,11.4,35.1293,1
Albania,2005,Developing,73.5,15,1,5.16,26.99312143,49.9,10.8,279.142931,1
Albania,2004,Developing,73,17,1,4.54,221.8428,48.9,10.9,2416.588235,1
Albania,2003,Developing,72.8,18,1,4.29,14.71928882,47.9,10.7,189.681557,1
Albania,2002,Developing,73.3,15,1,3.73,104.5169157,46.9,10.7,1453.642777,1
Albania,2001,Developing,73.6,14,1,4.25,96.20557078,46,10.6,1326.97339,1
Albania,2000,Developing,72.6,11,1,3.66,91.71154052,45,10.7,1175.788981,1
Algeria,2015,Developing,75.6,19,21,,0,59.5,14.4,4132.76292,24
Algeria,2014,Developing,75.4,11,21,0.01,54.2373183,58.4,14.4,547.8517,24
Algeria,2013,Developing,75.3,112,21,0.53,544.4507432,57.2,14.4,5471.866766,24
Algeria,2012,Developing,75.1,113,21,0.66,555.9260834,56.1,14.4,5564.82566,24
Algeria,2011,Developing,74.9,116,21,0.56,509.0020405,55,14,5432.2523,24
Algeria,2010,Developing,74.7,119,21,0.45,430.7175861,53.9,13.6,4463.394675,24
Algeria,2009,Developing,74.4,123,20,0.5,352.0636419,52.8,13.1,3868.83123,23
Algeria,2008,Developing,74.1,126,20,0.46,43.08717334,51.8,12.6,495.254866,23
Algeria,2007,Developing,73.8,129,20,0.44,320.3239241,5.8,12.3,3935.183343,23
Algeria,2006,Developing,73.4,132,20,0.36,270.2401962,49.8,12.3,3464.6179,23
Algeria,2005,Developing,72.9,136,19,0.5,2.548922758,48.9,12,31.122378,22
Algeria,2004,Developing,72.3,14,19,0.45,220.393699,47.9,11.7,2598.9823,23
Algeria,2003,Developing,71.7,146,20,0.34,25.0185226,47,11.5,294.33556,23
Algeria,2002,Developing,71.6,145,20,0.36,148.5119843,46.1,11.1,1774.33673,23
Algeria,2001,Developing,71.4,145,20,0.23,147.9860714,45.3,10.9,1732.857979,24
Algeria,2000,Developing,71.3,145,21,0.25,154.4559436,44.4,10.7,1757.17797,25
Angola,2015,Developing,52.4,335,66,,0,23.3,11.4,3695.793748,98
Angola,2014,Developing,51.7,348,67,8.33,23.965612,22.7,11.4,479.31224,101
Angola,2013,Developing,51.1,355,69,8.1,35.95857279,22.1,11.4,484.616884,105
Angola,2012,Developing,56,358,72,8.24,256.1225243,21.5,10.3,4598.249988,110
Angola,2011,Developing,51,361,75,8.06,239.8913921,21,9.4,4299.12889,115
Angola,2010,Developing,49.6,365,78,7.8,191.6537407,2.4,9,3529.53482,121
Angola,2009,Developing,49.1,369,81,7.01,212.9229325,19.8,8.5,3347.84485,127
Angola,2008,Developing,48.7,371,84,7.07,249.9101958,19.3,8.1,3868.578883,133
Angola,2007,Developing,48.2,375,87,6.35,184.8213446,18.8,7.7,2878.837144,138
Angola,2006,Developing,47.7,381,90,5.84,25.08688824,18.2,7.2,262.415149,143
Angola,2005,Developing,47.4,382,92,5.04,98.19145117,17.7,6.8,1443.991929,148
Angola,2004,Developing,47.1,386,94,3.53,8.8667775,17.2,6.4,141.86844,152
Angola,2003,Developing,46.8,388,95,3.49,35.93349121,16.8,5.9,779.468356,155
Angola,2002,Developing,46.5,391,96,2.82,24.037942,16.3,5.5,711.181716,157
Angola,2001,Developing,45.7,44,97,2.58,30.35993647,15.8,5.1,526.168743,159
Angola,2000,Developing,45.3,48,97,1.85,15.88149254,15.4,4.6,555.2969419,160
